epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_eer,val_far,val_frr,val_loss,val_precision,val_recall
0,0.8680803775787354,0.9430252909660339,0.0010000000474974513,0.406469464302063,0.8704286217689514,0.8649107217788696,0.8145312666893005,0.9787217378616333,0.07843750000000002,0.0784375,0.0784375,0.4832879900932312,0.7311136722564697,0.9950000047683716
1,0.9359821677207947,0.9814814925193787,0.0010000000474974513,0.3193603456020355,0.9365277886390686,0.9353571534156799,0.9223437309265137,0.979092001914978,0.07140625000000002,0.07125,0.0715625,0.33602333068847656,0.9016344547271729,0.9481250047683716
2,0.9545981884002686,0.9884359240531921,0.0010000000474974513,0.29251980781555176,0.9548825025558472,0.954285740852356,0.9020312428474426,0.9854558110237122,0.06218749999999998,0.0621875,0.0621875,0.3649836778640747,0.9946174621582031,0.8084375262260437
3,0.9602231979370117,0.9913182258605957,0.0010000000474974513,0.28088927268981934,0.9620797634124756,0.958214282989502,0.9532812237739563,0.9925376176834106,0.035937499999999976,0.0359375,0.0359375,0.28483355045318604,0.931054949760437,0.9790624976158142
4,0.9668750166893005,0.9932180643081665,0.0010000000474974513,0.2720766067504883,0.9698957800865173,0.963660717010498,0.9681249856948853,0.9949259757995605,0.030000000000000013,0.03,0.03,0.26362618803977966,0.9617756009101868,0.9750000238418579
5,0.9722768068313599,0.9952681660652161,0.0010000000474974513,0.26267653703689575,0.975033700466156,0.9693750143051147,0.8129687309265137,0.9918675422668457,0.03796875000000001,0.0378125,0.038125,0.5120849609375,0.7298600077629089,0.9937499761581421
6,0.9764732122421265,0.9963820576667786,0.0010000000474974513,0.25671860575675964,0.9778812527656555,0.9750000238418579,0.8909375071525574,0.992888331413269,0.03781250000000001,0.0378125,0.0378125,0.3839147090911865,0.9964285492897034,0.7846875190734863
7,0.9778571724891663,0.9966625571250916,0.0010000000474974513,0.25364843010902405,0.9795699119567871,0.9760714173316956,0.9759374856948853,0.9967683553695679,0.023281250000000007,0.0228125,0.02375,0.24878892302513123,0.9837992191314697,0.9678124785423279
8,0.9816071391105652,0.9974263310432434,0.0010000000474974513,0.247775137424469,0.9839404225349426,0.9791964292526245,0.9599999785423279,0.9947358965873718,0.030625000000000006,0.030625,0.030625,0.26577478647232056,0.9457904100418091,0.9759374856948853
9,0.9828571677207947,0.9980286955833435,0.0010000000474974513,0.24425280094146729,0.9847615361213684,0.9808928370475769,0.8924999833106995,0.9955251812934875,0.02453125000000002,0.024375,0.0246875,0.3710835576057434,0.8247156143188477,0.996874988079071
10,0.9833928346633911,0.9979719519615173,0.0010000000474974513,0.24418650567531586,0.9859091639518738,0.9808035492897034,0.9595312476158142,0.9963163733482361,0.02687499999999999,0.026875,0.026875,0.2781204581260681,0.93034827709198,0.9934375286102295
11,0.984955370426178,0.9985725283622742,0.0010000000474974513,0.24010217189788818,0.987261176109314,0.9825893044471741,0.9787499904632568,0.9971061944961548,0.019687499999999983,0.0196875,0.0196875,0.24364513158798218,0.9851171374320984,0.9721875190734863
12,0.9871428608894348,0.9986593723297119,0.0010000000474974513,0.23773430287837982,0.9889765381813049,0.9852678775787354,0.9748437404632568,0.9969632625579834,0.021406250000000022,0.0215625,0.02125,0.24768367409706116,0.9944679737091064,0.9549999833106995
13,0.9881696701049805,0.9989035129547119,0.0010000000474974513,0.23595476150512695,0.9902268648147583,0.9860714077949524,0.9546874761581421,0.9969618916511536,0.026562500000000024,0.0265625,0.0265625,0.29234179854393005,0.9976060390472412,0.9115625023841858
14,0.9890178442001343,0.9990726113319397,0.0010000000474974513,0.23470015823841095,0.991651713848114,0.986339271068573,0.9593750238418579,0.9948646426200867,0.026249999999999996,0.02625,0.02625,0.2796943187713623,0.9962862730026245,0.9221875071525574
15,0.989464282989502,0.9991119503974915,0.0010000000474974513,0.23362430930137634,0.990515410900116,0.9883928298950195,0.981249988079071,0.9979344010353088,0.01828125,0.0184375,0.018125,0.23788580298423767,0.9916986227035522,0.9706249833106995
16,0.9900446534156799,0.9991990327835083,0.0010000000474974513,0.23252902925014496,0.9918451309204102,0.9882143139839172,0.9798437356948853,0.9973932504653931,0.02000000000000001,0.02,0.02,0.24006617069244385,0.9882352948188782,0.9712499976158142
17,0.9905803799629211,0.9992968440055847,0.0010000000474974513,0.2315388023853302,0.9927361011505127,0.9883928298950195,0.9464062452316284,0.9967955946922302,0.02109375000000003,0.0209375,0.02125,0.3013724386692047,0.9084929823875427,0.9928125143051147
18,0.9917857050895691,0.9993804693222046,0.0010000000474974513,0.2299519181251526,0.993459939956665,0.9900892972946167,0.9049999713897705,0.9926952123641968,0.03500000000000002,0.035,0.035,0.3666483163833618,0.8452317714691162,0.9915624856948853
19,0.9926785826683044,0.9994823932647705,0.0010000000474974513,0.2285594642162323,0.9954210519790649,0.9899107217788696,0.9389062523841858,0.9971932172775269,0.023593750000000024,0.02375,0.0234375,0.31850749254226685,0.9985800385475159,0.8790624737739563
20,0.9922321438789368,0.9994930028915405,0.0010000000474974513,0.22889535129070282,0.9935541749000549,0.9908928275108337,0.9790624976158142,0.9974632263183594,0.02046874999999998,0.0203125,0.020625,0.24789072573184967,0.994516134262085,0.9634374976158142
21,0.9956696629524231,0.9998035430908203,0.0005000000237487257,0.22162482142448425,0.9977584481239319,0.993571400642395,0.984375,0.9984367489814758,0.014687499999999982,0.0146875,0.0146875,0.23228350281715393,0.9822651147842407,0.9865624904632568
22,0.9967857003211975,0.9998447299003601,0.0005000000237487257,0.22018879652023315,0.9991029500961304,0.9944642782211304,0.9837499856948853,0.9984707832336426,0.016093750000000025,0.0159375,0.01625,0.22973911464214325,0.9929936528205872,0.9743750095367432
23,0.9969196319580078,0.9998711347579956,0.0005000000237487257,0.2189093828201294,0.9989242553710938,0.994910717010498,0.9610937237739563,0.9980326890945435,0.016249999999999994,0.01625,0.01625,0.28417375683784485,0.931811511516571,0.9950000047683716
24,0.9967410564422607,0.9998308420181274,0.0005000000237487257,0.2194741666316986,0.9987449645996094,0.994732141494751,0.9837499856948853,0.998490035533905,0.016562500000000018,0.0165625,0.0165625,0.2298557162284851,0.9846587181091309,0.9828125238418579
25,0.9970982074737549,0.999834418296814,0.0005000000237487257,0.21944791078567505,0.9991035461425781,0.9950892925262451,0.9803125262260437,0.9979807138442993,0.01890625000000002,0.01875,0.0190625,0.23816367983818054,0.991368293762207,0.9690625071525574
26,0.9971874952316284,0.9998717308044434,0.0005000000237487257,0.21836183965206146,0.9991037249565125,0.9952678680419922,0.9829687476158142,0.9981712698936462,0.016406250000000018,0.0165625,0.01625,0.23249223828315735,0.9904792308807373,0.9753124713897705
27,0.9970535635948181,0.9998692274093628,0.0005000000237487257,0.21810372173786163,0.9990139603614807,0.9950892925262451,0.9787499904632568,0.9983713030815125,0.014687499999999982,0.0146875,0.0146875,0.24237845838069916,0.9676434397697449,0.9906250238418579
28,0.9978125095367432,0.9998944401741028,0.0002500000118743628,0.21621082723140717,0.9995520114898682,0.996071457862854,0.9862499833106995,0.9983180165290833,0.01375000000000002,0.01375,0.01375,0.2282763123512268,0.9883866906166077,0.9840624928474426
